Círculo	Nome	Escola (Descritor)	Descrição Visual	Efeito	Aprimoramento (Exemplos)	Prompt base
2º	Crânio Voador de Vladislav	Necromancia	Um crânio humano envolto em chamas verdes surge e voa gargalhando contra o inimigo.	O crânio persegue um alvo e explode, causando 4d8 de dano necrótico.	+2 PM: Aumenta o dano em +1d8.+4 PM: Cria um segundo crânio.	Cria a imagem de Tormenta 20 para a Magia 'Crânio Voador de Vladislav' que é do tipo 'Necromancia', do 2º círculo, com o efeito 'Um crânio humano envolto em chamas verdes surge e voa gargalhando contra o inimigo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Escuridão	Necromancia (Trevas)	Uma esfera de sombras absolutas e impenetráveis surge, engolindo toda a luz.	Cria escuridão mágica que impede a visão normal e no escuro.	+2 PM: A área aumenta em +1,5m.+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Escuridão' que é do tipo 'Necromancia (Trevas)', do 2º círculo, com o efeito 'Uma esfera de sombras absolutas e impenetráveis surge, engolindo toda a luz.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Raio de Enfraquecimento	Necromancia	Um feixe de energia cinzenta atinge o alvo, murchando seus músculos instantaneamente.	O alvo sofre -2 em testes de Força e Destreza.	+2 PM: A penalidade aumenta em -1.	Cria a imagem de Tormenta 20 para a Magia 'Raio de Enfraquecimento' que é do tipo 'Necromancia', do 2º círculo, com o efeito 'Um feixe de energia cinzenta atinge o alvo, murchando seus músculos instantaneamente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Alterar-se	Transmutação	O corpo do conjurador se contorce e muda, assumindo novas feições ou membros funcionais.	Você muda sua aparência ou ganha uma habilidade (garras, nadar, etc.).	+2 PM: Você pode escolher duas habilidades em vez de uma.	Cria a imagem de Tormenta 20 para a Magia 'Alterar-se' que é do tipo 'Transmutação', do 2º círculo, com o efeito 'O corpo do conjurador se contorce e muda, assumindo novas feições ou membros funcionais.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Físico do Rugido	Transmutação	O corpo do alvo incha com músculos ou agilidade felina; sua presença torna-se imponente.	O alvo recebe +2 em Força, Destreza ou Constituição.	+3 PM: O bônus aumenta para +5.+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Físico do Rugido' que é do tipo 'Transmutação', do 2º círculo, com o efeito 'O corpo do alvo incha com músculos ou agilidade felina; sua presença torna-se imponente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Velocidade	Transmutação	O tempo parece desacelerar para o alvo; ele move-se como um borrão no campo de batalha.	O alvo ganha uma ação de movimento ou padrão extra por rodada.	+5 PM: Afeta até três criaturas voluntárias.	Cria a imagem de Tormenta 20 para a Magia 'Velocidade' que é do tipo 'Transmutação', do 2º círculo, com o efeito 'O tempo parece desacelerar para o alvo; ele move-se como um borrão no campo de batalha.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Voo	Transmutação	O alvo torna-se leve e levita, podendo cruzar os céus livremente.	O alvo ganha deslocamento de voo de 12 metros.	+2 PM: O deslocamento de voo aumenta para 18 metros.	Cria a imagem de Tormenta 20 para a Magia 'Voo' que é do tipo 'Transmutação', do 2º círculo, com o efeito 'O alvo torna-se leve e levita, podendo cruzar os céus livremente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Âncora Planar	Abjuração	Correntes de energia translúcida prendem uma criatura de outro plano à realidade atual.	Prende uma criatura extraplanar, impedindo-a de sair de uma área ou retornar ao seu plano.	+2 PM: Aumenta a duração da prisão.+5 PM: Aumenta a dificuldade do teste para escapar.	Cria a imagem de Tormenta 20 para a Magia 'Âncora Planar' que é do tipo 'Abjuração', do 3º círculo, com o efeito 'Correntes de energia translúcida prendem uma criatura de outro plano à realidade atual.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Anular Magia	Abjuração	Um vácuo de energia mística desfaz construções arcanas e apaga brilhos mágicos instantaneamente.	Versão poderosa de dissipar magia; pode anular magias de círculos superiores.	+4 PM: Anula todas as magias ativas em uma área de uma só vez.	Cria a imagem de Tormenta 20 para a Magia 'Anular Magia' que é do tipo 'Abjuração', do 3º círculo, com o efeito 'Um vácuo de energia mística desfaz construções arcanas e apaga brilhos mágicos instantaneamente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Banimento	Convocação	Uma fenda dimensional se abre sob o alvo, sugando-o com uma força gravitacional violenta.	Envia uma criatura para seu plano de origem ou para um semiplano inofensivo.	+5 PM: Afeta duas criaturas simultaneamente.	Cria a imagem de Tormenta 20 para a Magia 'Banimento' que é do tipo 'Convocação', do 3º círculo, com o efeito 'Uma fenda dimensional se abre sob o alvo, sugando-o com uma força gravitacional violenta.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Coluna de Chamas	Evocação (Fogo/Luz)	Um cilindro massivo de fogo ruginte e luz branca desce dos céus, incinerando o solo.	Causa 10d6 de dano (metade fogo, metade luz) numa área de cilindro.	+2 PM: Aumenta o dano em +2d6.+2 PM: Criaturas que sofrem dano ficam cegas.	Cria a imagem de Tormenta 20 para a Magia 'Coluna de Chamas' que é do tipo 'Evocação (Fogo/Luz)', do 3º círculo, com o efeito 'Um cilindro massivo de fogo ruginte e luz branca desce dos céus, incinerando o solo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Contato Extraplanar	Adivinhação	O conjurador entra em transe profundo, seus olhos brilham com galáxias enquanto ele ouve vozes de entidades.	Você faz perguntas a uma entidade de outro plano para obter respostas curtas.	+2 PM: Aumenta o número de perguntas que podem ser feitas.	Cria a imagem de Tormenta 20 para a Magia 'Contato Extraplanar' que é do tipo 'Adivinhação', do 3º círculo, com o efeito 'O conjurador entra em transe profundo, seus olhos brilham com galáxias enquanto ele ouve vozes de entidades.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Controlar a Água	Transmutação (Água)	Ondas colossais obedecem ao movimento das mãos do conjurador, abrindo caminhos ou inundando áreas.	Permite elevar, baixar ou redirecionar grandes corpos de água.	+2 PM: Cria um redemoinho que prende criaturas submersas.	Cria a imagem de Tormenta 20 para a Magia 'Controlar a Água' que é do tipo 'Transmutação (Água)', do 3º círculo, com o efeito 'Ondas colossais obedecem ao movimento das mãos do conjurador, abrindo caminhos ou inundando áreas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Convocar Tempestade	Evocação (Ar/Eletricidade)	Nuvens negras se formam em segundos; relâmpagos caem e ventos fortes açoitam o campo de batalha.	Cria uma tempestade que causa dano de eletricidade e impacto a cada rodada.	+3 PM: Aumenta o dano dos raios em +2d10.	Cria a imagem de Tormenta 20 para a Magia 'Convocar Tempestade' que é do tipo 'Evocação (Ar/Eletricidade)', do 3º círculo, com o efeito 'Nuvens negras se formam em segundos; relâmpagos caem e ventos fortes açoitam o campo de batalha.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Dominar Pessoa	Encantamento (Mental)	Um brilho hipnótico surge nos olhos do alvo, que passa a agir como uma extensão da vontade do mago.	O conjurador estabelece controle mental total sobre um humanoide.	+5 PM: O alvo não percebe que foi dominado após o fim da magia.	Cria a imagem de Tormenta 20 para a Magia 'Dominar Pessoa' que é do tipo 'Encantamento (Mental)', do 3º círculo, com o efeito 'Um brilho hipnótico surge nos olhos do alvo, que passa a agir como uma extensão da vontade do mago.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Envenenamento	Necromancia (Veneno)	Veias negras saltam na pele do alvo a partir do ponto tocado, enquanto ele tosse uma substância tóxica.	O alvo fica envenenado e sofre dano de veneno por rodada.	+2 PM: O dano de veneno aumenta em +1d12.	Cria a imagem de Tormenta 20 para a Magia 'Envenenamento' que é do tipo 'Necromancia (Veneno)', do 3º círculo, com o efeito 'Veias negras saltam na pele do alvo a partir do ponto tocado, enquanto ele tosse uma substância tóxica.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Erupção Glacial	Evocação (Gelo)	Estacas de gelo gigantescas rompem o solo com um som de cristal estilhaçando, empalando inimigos.	Causa 10d6 de dano de frio em área e deixa o terreno difícil.	+2 PM: Aumenta o dano em +2d6.+2 PM: Alvos ficam paralisados pelo gelo.	Cria a imagem de Tormenta 20 para a Magia 'Erupção Glacial' que é do tipo 'Evocação (Gelo)', do 3º círculo, com o efeito 'Estacas de gelo gigantescas rompem o solo com um som de cristal estilhaçando, empalando inimigos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Falar com os Mortos	Necromancia	O espírito do cadáver manifesta-se como uma névoa pálida e sussurrante acima de seus restos mortais.	Permite fazer perguntas a um cadáver, que responde com o conhecimento que tinha em vida.	+2 PM: O cadáver não pode mentir ou omitir informações.	Cria a imagem de Tormenta 20 para a Magia 'Falar com os Mortos' que é do tipo 'Necromancia', do 3º círculo, com o efeito 'O espírito do cadáver manifesta-se como uma névoa pálida e sussurrante acima de seus restos mortais.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Heroísmo	Encantamento (Mental)	Uma aura de coragem inabalável e luz dourada envolve o alvo, que se torna imune ao medo.	O alvo recebe bônus massivos em ataques, danos e testes de resistência.	+3 PM: O bônus aumenta para +10.+5 PM: Afeta todos os aliados em alcance curto.	Cria a imagem de Tormenta 20 para a Magia 'Heroísmo' que é do tipo 'Encantamento (Mental)', do 3º círculo, com o efeito 'Uma aura de coragem inabalável e luz dourada envolve o alvo, que se torna imune ao medo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Imobilizar Monstro	Encantamento (Mental)	Correntes psíquicas invisíveis travam cada músculo da criatura, deixando-a estátua.	Paralisa qualquer tipo de criatura (não apenas humanoides).	+2 PM: Aumenta o número de alvos afetados.	Cria a imagem de Tormenta 20 para a Magia 'Imobilizar Monstro' que é do tipo 'Encantamento (Mental)', do 3º círculo, com o efeito 'Correntes psíquicas invisíveis travam cada músculo da criatura, deixando-a estátua.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Invisibilidade Maior	Ilusão	O alvo desaparece completamente; mesmo ao atacar, sua forma continua invisível e indetectável.	Versão superior que não se encerra quando o alvo ataca ou conjura magias.	+5 PM: A duração muda para a cena inteira.	Cria a imagem de Tormenta 20 para a Magia 'Invisibilidade Maior' que é do tipo 'Ilusão', do 3º círculo, com o efeito 'O alvo desaparece completamente; mesmo ao atacar, sua forma continua invisível e indetectável.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Lendas e Histórias	Adivinhação	Visões do passado fluem na mente do conjurador como se ele estivesse lendo um livro antigo.	Revela informações lendárias ou esquecidas sobre uma pessoa, lugar ou item.	+2 PM: Revela também segredos que o alvo tentou esconder.	Cria a imagem de Tormenta 20 para a Magia 'Lendas e Histórias' que é do tipo 'Adivinhação', do 3º círculo, com o efeito 'Visões do passado fluem na mente do conjurador como se ele estivesse lendo um livro antigo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Marionete	Encantamento (Mental)	Fios de energia azulada ligam-se às articulações do alvo, permitindo ao mago mover o corpo dele.	Você controla os movimentos físicos do alvo, forçando-o a atacar ou se mover.	+5 PM: O controle torna-se perfeito, permitindo usar as habilidades do alvo.	Cria a imagem de Tormenta 20 para a Magia 'Marionete' que é do tipo 'Encantamento (Mental)', do 3º círculo, com o efeito 'Fios de energia azulada ligam-se às articulações do alvo, permitindo ao mago mover o corpo dele.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Metamorfose	Transmutação	Os ossos e a carne do alvo se moldam de forma grotesca até que ele assuma a forma de uma fera.	Transforma uma criatura em um animal de ND igual ou menor ao nível do conjurador.	+5 PM: O alvo assume a forma de um monstro (como uma hidra ou dragão jovem).	Cria a imagem de Tormenta 20 para a Magia 'Metamorfose' que é do tipo 'Transmutação', do 3º círculo, com o efeito 'Os ossos e a carne do alvo se moldam de forma grotesca até que ele assuma a forma de uma fera.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Muralha de Energia	Abjuração	Uma parede vertical de força pura e cintilante impede qualquer passagem física ou mágica.	Cria uma barreira indestrutível que bloqueia ataques e movimento.	+2 PM: A muralha causa dano de essência em quem encostar nela.	Cria a imagem de Tormenta 20 para a Magia 'Muralha de Energia' que é do tipo 'Abjuração', do 3º círculo, com o efeito 'Uma parede vertical de força pura e cintilante impede qualquer passagem física ou mágica.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Muralha de Fogo	Evocação (Fogo)	Uma cortina de labaredas ruidosas sobe do chão, emitindo um calor insuportável.	Cria uma parede de fogo que causa dano a quem atravessa ou está perto.	+2 PM: Aumenta o dano em +2d6.+3 PM: A muralha torna-se circular.	Cria a imagem de Tormenta 20 para a Magia 'Muralha de Fogo' que é do tipo 'Evocação (Fogo)', do 3º círculo, com o efeito 'Uma cortina de labaredas ruidosas sobe do chão, emitindo um calor insuportável.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Muralha de Gelo	Evocação (Gelo)	Um paredão de gelo sólido e translúcido ergue-se, exalando uma névoa gelada.	Cria uma barreira física de gelo que pode ser destruída, mas emite frio intenso.	+2 PM: Se destruída, a muralha explode em estilhaços de gelo.	Cria a imagem de Tormenta 20 para a Magia 'Muralha de Gelo' que é do tipo 'Evocação (Gelo)', do 3º círculo, com o efeito 'Um paredão de gelo sólido e translúcido ergue-se, exalando uma névoa gelada.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Pele de Pedra	Transmutação (Terra)	A pele do alvo assume a cor e a textura do granito, tornando-se quase impenetrável.	Concede resistência a dano físico (RD 10).	+3 PM: Aumenta a RD para 20.+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Pele de Pedra' que é do tipo 'Transmutação (Terra)', do 3º círculo, com o efeito 'A pele do alvo assume a cor e a textura do granito, tornando-se quase impenetrável.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Reviver os Mortos	Necromancia	Uma alma é puxada de volta do pós-vida enquanto as feridas do corpo se fecham em luz branca.	Traz uma criatura morta de volta à vida (se o corpo estiver íntegro).	+5 PM: Revive mesmo que o corpo tenha sido destruído (precisa de um pedaço).	Cria a imagem de Tormenta 20 para a Magia 'Reviver os Mortos' que é do tipo 'Necromancia', do 3º círculo, com o efeito 'Uma alma é puxada de volta do pós-vida enquanto as feridas do corpo se fecham em luz branca.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Sopro do Dragão	Evocação (Elemento)	O conjurador incha o peito e exala uma rajada massiva de energia elemental em cone.	Causa 10d6 de dano de um elemento escolhido (Fogo, Gelo, Ácido ou Eletricidade).	+2 PM: Aumenta o dano em +2d6.+5 PM: Muda a área para uma linha de 30 metros.	Cria a imagem de Tormenta 20 para a Magia 'Sopro do Dragão' que é do tipo 'Evocação (Elemento)', do 3º círculo, com o efeito 'O conjurador incha o peito e exala uma rajada massiva de energia elemental em cone.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Teletransporte	Convocação	Um rasgo no espaço-tempo consome o grupo, que reaparece instantaneamente em outro local.	Transporta você e aliados para um local conhecido a até 100km.	+3 PM: Aumenta o número de passageiros.+5 PM: A distância torna-se ilimitada.	Cria a imagem de Tormenta 20 para a Magia 'Teletransporte' que é do tipo 'Convocação', do 3º círculo, com o efeito 'Um rasgo no espaço-tempo consome o grupo, que reaparece instantaneamente em outro local.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
3º	Visão da Verdade	Adivinhação	Os olhos do alvo tornam-se cristais puros que veem através de todas as mentiras do mundo.	Permite ver através de ilusões, invisibilidade e metamorfos em sua forma real.	+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Visão da Verdade' que é do tipo 'Adivinhação', do 3º círculo, com o efeito 'Os olhos do alvo tornam-se cristais puros que veem através de todas as mentiras do mundo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Globo de Invulnerabilidade	Abjuração	Uma cúpula de energia cintilante e imóvel envolve o conjurador, repelindo feitiços menores.	Cria uma barreira que anula qualquer magia de 1º ou 2º círculo que tente atravessá-la.	+4 PM: O globo também anula magias de 3º círculo.	Cria a imagem de Tormenta 20 para a Magia 'Globo de Invulnerabilidade' que é do tipo 'Abjuração', do 4º círculo, com o efeito 'Uma cúpula de energia cintilante e imóvel envolve o conjurador, repelindo feitiços menores.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Muralha Prismática	Abjuração	Uma parede vertical composta por sete camadas de cores vibrantes, cada uma brilhando com um poder letal.	Cria uma barreira de sete cores; cada cor tem um efeito defensivo e causa dano a quem a toca.	+5 PM: A muralha torna-se uma esfera ao redor do conjurador.	Cria a imagem de Tormenta 20 para a Magia 'Muralha Prismática' que é do tipo 'Abjuração', do 4º círculo, com o efeito 'Uma parede vertical composta por sete camadas de cores vibrantes, cada uma brilhando com um poder letal.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Restauração Maior	Abjuração	Uma luz pura e absoluta penetra o corpo do alvo, desfazendo até as maldições mais antigas.	Remove qualquer efeito negativo, drena de energia, loucura ou penalidades de atributos.	+5 PM: Restaura pontos de experiência perdidos ou níveis drenados.	Cria a imagem de Tormenta 20 para a Magia 'Restauração Maior' que é do tipo 'Abjuração', do 4º círculo, com o efeito 'Uma luz pura e absoluta penetra o corpo do alvo, desfazendo até as maldições mais antigas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Conjurar Elemental	Convocação (Elemento)	O ar se rasga e uma entidade colossal feita de fogo, terra, água ou ar manifesta-se no campo.	Invoca um Elemental Grande para lutar sob o seu comando.	+5 PM: Invoca um Elemental Enorme.+10 PM: Invoca um Elemental Colossal.	Cria a imagem de Tormenta 20 para a Magia 'Conjurar Elemental' que é do tipo 'Convocação (Elemento)', do 4º círculo, com o efeito 'O ar se rasga e uma entidade colossal feita de fogo, terra, água ou ar manifesta-se no campo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Labirinto	Convocação	O alvo é sugado por uma fenda dimensional e lançado num espaço infinito de corredores de pedra e névoa.	Bane o alvo para um semiplano labiríntico onde ele fica preso até conseguir escapar mentalmente.	+5 PM: O labirinto causa dano psíquico ao alvo a cada rodada.	Cria a imagem de Tormenta 20 para a Magia 'Labirinto' que é do tipo 'Convocação', do 4º círculo, com o efeito 'O alvo é sugado por uma fenda dimensional e lançado num espaço infinito de corredores de pedra e névoa.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Viagem Planar	Convocação	O tecido da realidade é rasgado como papel, revelando a paisagem de outro plano de existência.	Transporta o grupo para outro plano (como o reino de um deus ou o Plano Astral).	+5 PM: Garante que o grupo apareça exatamente no local desejado sem desvios.	Cria a imagem de Tormenta 20 para a Magia 'Viagem Planar' que é do tipo 'Convocação', do 4º círculo, com o efeito 'O tecido da realidade é rasgado como papel, revelando a paisagem de outro plano de existência.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Alterar Memória	Encantamento (Mental)	Os olhos do mago tornam-se espelhos turvos enquanto ele sussurra uma nova versão do passado ao ouvido do alvo.	Permite apagar ou reescrever até 5 minutos de memórias recentes do alvo.	+5 PM: Permite alterar memórias de qualquer período da vida do alvo.	Cria a imagem de Tormenta 20 para a Magia 'Alterar Memória' que é do tipo 'Encantamento (Mental)', do 4º círculo, com o efeito 'Os olhos do mago tornam-se espelhos turvos enquanto ele sussurra uma nova versão do passado ao ouvido do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Enfraquecer Intelecto	Encantamento (Mental)	Uma descarga de energia roxa atinge a cabeça do alvo, reduzindo a sua mente à de um animal irracional.	Reduz a Inteligência e o Carisma do alvo para 1. O alvo perde a capacidade de falar e conjurar.	+5 PM: O efeito torna-se permanente até ser removido por magia poderosa.	Cria a imagem de Tormenta 20 para a Magia 'Enfraquecer Intelecto' que é do tipo 'Encantamento (Mental)', do 4º círculo, com o efeito 'Uma descarga de energia roxa atinge a cabeça do alvo, reduzindo a sua mente à de um animal irracional.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Fúria Divina	Encantamento (Mental)	O alvo é possuído por uma sede de sangue sagrada; os seus olhos tornam-se vermelhos e a sua força física explode.	O alvo recebe bônus massivos em ataque e dano, mas não pode usar perícias mentais.	+5 PM: O alvo recebe RD 10 contra todos os danos enquanto estiver em fúria.	Cria a imagem de Tormenta 20 para a Magia 'Fúria Divina' que é do tipo 'Encantamento (Mental)', do 4º círculo, com o efeito 'O alvo é possuído por uma sede de sangue sagrada; os seus olhos tornam-se vermelhos e a sua força física explode.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Arrasar	Evocação	Uma onda de choque invisível e absoluta emana do conjurador, reduzindo estruturas e inimigos a pó.	Causa 20d6 de dano de impacto em área e ignora a dureza de objetos inanimados.	+5 PM: Aumenta o dano em +10d6.	Cria a imagem de Tormenta 20 para a Magia 'Arrasar' que é do tipo 'Evocação', do 4º círculo, com o efeito 'Uma onda de choque invisível e absoluta emana do conjurador, reduzindo estruturas e inimigos a pó.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Cólera de Azgher	Evocação (Luz)	Um raio de sol concentrado, vindo diretamente do disco solar, atinge o solo com o calor de um deserto.	Causa dano massivo de fogo e luz em uma coluna vertical; letal contra mortos-vivos.	+5 PM: Inimigos que sobreviverem ao dano ficam cegos permanentemente.	Cria a imagem de Tormenta 20 para a Magia 'Cólera de Azgher' que é do tipo 'Evocação (Luz)', do 4º círculo, com o efeito 'Um raio de sol concentrado, vindo diretamente do disco solar, atinge o solo com o calor de um deserto.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Luz Cegante	Evocação (Luz)	Uma explosão de luz branca tão intensa que parece sólida emana do conjurador.	Cega todas as criaturas em alcance curto e causa dano radiante.	+2 PM: Aumenta o dano em +2d6.+5 PM: A cegueira não pode ser evitada por testes de resistência.	Cria a imagem de Tormenta 20 para a Magia 'Luz Cegante' que é do tipo 'Evocação (Luz)', do 4º círculo, com o efeito 'Uma explosão de luz branca tão intensa que parece sólida emana do conjurador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Palavra Sagrada	Evocação	Uma palavra imbuída do poder da Criação ressoa, punindo aqueles que não pertencem a este plano.	Ensurdece, cega, paralisa ou mata criaturas extraplanares dependendo da sua força.	+5 PM: O alcance da palavra estende-se para médio (30m).	Cria a imagem de Tormenta 20 para a Magia 'Palavra Sagrada' que é do tipo 'Evocação', do 4º círculo, com o efeito 'Uma palavra imbuída do poder da Criação ressoa, punindo aqueles que não pertencem a este plano.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Projétil de Força	Evocação (Essência)	Uma lança de energia azul-escura e translúcida atravessa o campo de batalha em velocidade supersónica.	Um único ataque que causa dano massivo de essência e empurra o alvo por 9 metros.	+2 PM: Aumenta o dano em +5d6.	Cria a imagem de Tormenta 20 para a Magia 'Projétil de Força' que é do tipo 'Evocação (Essência)', do 4º círculo, com o efeito 'Uma lança de energia azul-escura e translúcida atravessa o campo de batalha em velocidade supersónica.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Soco de Magat	Evocação (Essência)	Uma mão gigante feita de força translúcida fecha-se em punho e golpeia o alvo do alto.	Causa dano de impacto e esmaga o alvo contra o chão, deixando-o caído e atordoado.	+5 PM: A mão permanece em jogo para continuar a socar o alvo a cada rodada.	Cria a imagem de Tormenta 20 para a Magia 'Soco de Magat' que é do tipo 'Evocação (Essência)', do 4º círculo, com o efeito 'Uma mão gigante feita de força translúcida fecha-se em punho e golpeia o alvo do alto.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Tempestade Divina	Evocação	O céu abre-se para uma chuva de fogo, gelo ou luz, dependendo da divindade do conjurador.	Causa dano massivo em uma área imensa (cilindro de 15m de raio).	+5 PM: A tempestade dura várias rodadas, causando dano contínuo.	Cria a imagem de Tormenta 20 para a Magia 'Tempestade Divina' que é do tipo 'Evocação', do 4º círculo, com o efeito 'O céu abre-se para uma chuva de fogo, gelo ou luz, dependendo da divindade do conjurador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Terremoto	Evocação (Terra)	O solo racha em fendas profundas; o rugido da terra engole construções e criaturas.	Derruba todas as criaturas na área, abre fendas que podem engolir alvos e destrói edifícios.	+5 PM: O tremor é tão forte que causa dano de impacto a cada rodada em que a criatura estiver no chão.	Cria a imagem de Tormenta 20 para a Magia 'Terremoto' que é do tipo 'Evocação (Terra)', do 4º círculo, com o efeito 'O solo racha em fendas profundas; o rugido da terra engole construções e criaturas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Assassino Fantasmagórico	Ilusão (Medo)	O medo mais profundo e ancestral do alvo manifesta-se à sua frente, visível apenas para ele.	O alvo deve passar em Vontade ou morre de susto; se passar, sofre dano psíquico.	+2 PM: Aumenta o dano psíquico causado em +2d6.	Cria a imagem de Tormenta 20 para a Magia 'Assassino Fantasmagórico' que é do tipo 'Ilusão (Medo)', do 4º círculo, com o efeito 'O medo mais profundo e ancestral do alvo manifesta-se à sua frente, visível apenas para ele.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Controlar o Clima	Transmutação	O conjurador ergue os braços e as condições atmosféricas mudam drasticamente em minutos.	Altera a temperatura, precipitação e ventos numa área de vários quilómetros.	+5 PM: As mudanças ocorrem de forma instantânea em vez de levarem minutos.	Cria a imagem de Tormenta 20 para a Magia 'Controlar o Clima' que é do tipo 'Transmutação', do 4º círculo, com o efeito 'O conjurador ergue os braços e as condições atmosféricas mudam drasticamente em minutos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
4º	Desintegrar	Transmutação	Um raio fino e verde-esmeralda dispara do dedo do mago, desfazendo a matéria em átomos.	Causa 20d6 de dano de essência; se o alvo chegar a 0 PV, vira um monte de cinzas finas.	+5 PM: Aumenta o dano em +10d6.+10 PM: O raio afeta uma linha de 15 metros.	Cria a imagem de Tormenta 20 para a Magia 'Desintegrar' que é do tipo 'Transmutação', do 4º círculo, com o efeito 'Um raio fino e verde-esmeralda dispara do dedo do mago, desfazendo a matéria em átomos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
